Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
POMO4,28.66,100,7.16,2.05,334.75,10.12,10.294934826944,7.15,5.1033333333333,-28.624708624709,8.8614332926452,23.936129967066,13.18,"7,53 Bilhões","1,15 Bilhão","8,62 Bilhões",19.14,66.15,"1,76 Bilhão",0.78,4.8940164976514,9.35,Bens Industriais
POMO3,28.66,100,5.72,1.64,279.77,13.69,18.471754171395,5.71,5.1033333333333,-10.624635143025,8.8614332926452,55.191476228462,13.18,"7,53 Bilhões","1,15 Bilhão","8,62 Bilhões",19.14,66.15,"1,76 Bilhão",0.78,6.0047858909106,11.62,Bens Industriais
TGMA3,28.62,90,8.44,2.42,153.7,1.23,53.009498998153,35.34,24.284214466667,-31.284056404451,37.125469693998,5.0522628579457,12.9,"2,33 Bilhões","276,83 Milhões","2,14 Bilhões",16.17,30.37,"339,20 Milhões",0.21,5.5641273257646,7.42,Bens Industriais
WIZC3,28.54,90,6.45,1.84,4.99,19.14,8.6018259124576,6.83,9.3579460419,37.012387143485,9.4065668551284,37.724258493827,12.96,"1,09 Bilhão","313,58 Milhões","1,31 Bilhão",10.21,9.46,"438,52 Milhões",0.68,6.9832864972632,3.6,Financeiro
CXSE3,28.22,80,11.72,3.31,-0.13,3.9409368969723,15.47,16.240678758333,4.9817631437169,11.789656483545,-23.790197262153,0,"46,41 Bilhões","3,96 Bilhões",-,-100,17.53,"1,21 Bilhão",0,7.6633296253815,7.47,Financeiro,
EALT3,28.11,80,3.56,1,91.39,11.1,52.489066286068,15,6.88024451,-54.131703266667,37.669357573497,151.12905048998,16.13,"336,86 Milhões","94,75 Milhões","587,51 Milhões",18.47,30.29,"10,18 Milhões",0.32,3.0303091304557,3.81,Bens Industriais
EALT4,28.11,80,3.55,1,478.16,9.33,37.826834080745,14.95,7.4133702466667,-50.412239152731,37.669357573497,151.96894697991,16.13,"336,86 Milhões","94,75 Milhões","587,51 Milhões",18.47,30.29,"10,18 Milhões",0.32,3.9730038553484,4.12,Bens Industriais
VIVA3,28.05,100,8.03,2.25,54.07,29.25,9.7948540343973,24.9,6.8445397877,-72.511888402811,27.774718720448,11.545055102201,27.44,"5,88 Bilhões","732,62 Milhões","2,67 Bilhões",20.57,37.95,"177,08 Milhões",0.18,0.97726956380795,2.71,Consumo Cíclico
EGIE3,27.84,70,10.06,2.8,41.99,7.87,-1.0012864977496,41.47,44.608521133133,7.5681724936894,37.052489794884,-10.652303364157,28.94,"33,84 Bilhões","3,44 Bilhões","11,62 Bilhões",-1.06,4.25,"5,57 Bilhões",2.14,6.0780020860624,5.61,Utilidade Pública
VAMO3,27.69,80,7.31,2.02,-6.61,19.250863375136,4.66,4.4259908791667,-5.0216549535043,5.7549978279753,23.497807467281,16,"5,04 Bilhões","305,79 Milhões","4,31 Bilhões",23.26,11.28,"4,48 Bilhões",6.58,3.6854810509556,5.91,Bens Industriais,
