Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
EGIE3,"33,84 Bilhões",70,10.06,2.8,41.99,7.87,-1.0012864977496,41.47,44.608521133133,7.5681724936894,37.052489794884,-10.652303364157,27.84,28.94,"3,44 Bilhões","11,62 Bilhões",-1.06,4.25,"5,57 Bilhões",2.14,6.0780020860624,5.61,Utilidade Pública
PSSA3,"32,14 Bilhões",100,11.37,2.32,187.76,22.72,67.827398765481,49.7,30.170817766667,-39.294129242119,45.903210672022,-7.639415146837,20.39,7.79,"2,87 Bilhões","36,28 Bilhões",14.27,11.23,"9,93 Bilhões",0,6.1986929291475,4.43,Financeiro
GGBR3,"31,51 Bilhões",50,9.47,0.55,196.26,5.02,-7.4227480823116,15.28,32.066666666667,109.86038394416,31.631226659742,107.01064567894,5.84,4.8,"3,30 Bilhões","68,19 Bilhões",9.25,6.71,"6,87 Bilhões",0.26,8.4605013659628,4.22,Materiais Básicos
GGBR4,"31,51 Bilhões",60,9.72,0.57,141.27,4.88,-16.253504917283,15.68,32.066666666667,104.50680272109,31.631226659742,101.7297618606,5.84,4.8,"3,30 Bilhões","68,19 Bilhões",9.25,6.71,"6,87 Bilhões",0.26,7.2233007707914,4.06,Materiais Básicos
CMIN3,"30,61 Bilhões",70,8.47,2.99,12.05,-1.24,12.740431601626,5.58,12.106599540148,116.96414946502,5.2696774094815,-5.5613367476434,35.3,18.59,"3,61 Bilhões","19,44 Bilhões",7.11,-2.18,"14,30 Bilhões",0.96,13.450181878174,14.8,Materiais Básicos
NEOE3,"29,35 Bilhões",60,8.36,0.87,87.98,15.47,24.988084315645,24.18,12.794222563667,-47.087582449682,42.555214134111,75.993441414851,10.38,7.19,"3,57 Bilhões","48,79 Bilhões",8.81,4.2,"6,01 Bilhões",1.51,4.3845470148443,3.19,Utilidade Pública
RADL3,"25,36 Bilhões",100,21.56,3.91,-21.67,-28.44,-46.121039649206,14.76,4.44964249,-69.853370663957,7.6048668627399,-48.476511770055,18.13,2.95,"1,18 Bilhão","39,82 Bilhões",14.69,18.93,"470,18 Milhões",0.49,0.94400463702435,2.53,Saúde
TOTS3,"25,11 Bilhões",100,31.97,5.23,127.84,14.36,46.286148291122,41.9,6.0666666666667,-85.52108194113,15.3653750361,-63.328460534368,16.37,14.36,"806,67 Milhões","5,47 Bilhões",16.08,22.29,"1,94 Bilhão",0.34,1.188675915565,1.4,Tecnologia da Informação
CEGR3,"25,11 Bilhões",80,34.01,15,76.47,73.95,45.865723960467,96.49717872,25.051388533333,-74.03925289254,20.301600922095,-78.961456499155,44.1,9.78,"738,29 Milhões","7,55 Bilhões",18.84,15.96,"581,44 Milhões",0.72,1.8671869033675,0.57,Utilidade Pública
KLBN3,"23,97 Bilhões",40,13.54,2.84,30.99,8.2,-4.5288994995645,3.96,3.2492587578667,-17.948011164982,3.0224162519415,-23.676357274205,20.94,9,"2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.1033336530227,5.89,Materiais Básicos,
KLBN4,"23,97 Bilhões",50,13.1,2.74,32.32,7.58,-8.0265987553167,3.83,3.2492632912,-15.162838349869,3.0224162519415,-21.085737547219,20.94,9,"2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.2345497014732,6.07,Materiais Básicos,
KLBN11,"23,97 Bilhões",50,13.2,2.77,31.84,7.82,-7.1974279796964,19.3,16.246362719333,-15.821954822109,15.142423848248,-21.541845345865,20.94,9,"2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.2142645005187,6.05,Materiais Básicos,
ENGI11,"23,89 Bilhões",90,5.98,1.22,40.49,12.39,4.7041497167198,47.81,35.966666666667,-24.77166562086,84.096373286843,75.897036784863,20.36,10.73,"4,53 Bilhões","34,15 Bilhões",10.93,23.01,"8,58 Bilhões",2.04,4.0115287396228,6.1,Utilidade Pública
ENGI4,"23,89 Bilhões",80,5.56,1.13,57.96,15.6,20.637539744484,8.89,7.1933333333333,-19.085114360705,16.821414922651,89.217265721609,20.36,10.73,"4,53 Bilhões","34,15 Bilhões",10.93,23.01,"8,58 Bilhões",2.04,4.6877256500859,6.59,Utilidade Pública
ENGI3,"23,89 Bilhões",80,8.05,1.64,32.5,7.33,-9.4811020847278,12.88,7.1933333333333,-44.151138716356,16.821414922651,30.60104753611,20.36,10.73,"4,53 Bilhões","34,15 Bilhões",10.93,23.01,"8,58 Bilhões",2.04,2.5285986683897,4.66,Utilidade Pública
AMBP3,"23,13 Bilhões",30,-102.89,17.58,2.38,1324.5884773663,138.47,1.7719111333333,-98.720364603645,-100,-17.09,-3.26,"-135,89 Milhões","6,89 Bilhões",57.9,"4,94 Bilhões",8.5,0.62413284798593,Utilidade Pública,,,,
ENEV3,"23,10 Bilhões",40,47.41,1.21,66.15,16.92,14.803149606299,14.58,-100,9.1792156527669,-37.042416647689,2.55,3.53,"951,63 Milhões","13,81 Bilhões",33.61,-1.12,"4,77 Bilhões",1,0,Utilidade Pública,,
VBBR3,"21,92 Bilhões",70,3.54,1.07,22.51,8.23,-10.294542724499,19.59,24.9541958907,27.382316950995,47.808861626272,144.04727731635,30.13,3.49,"6,18 Bilhões","177,53 Bilhões",16.85,9.61,"5,47 Bilhões",1.28,6.3169637189176,9.06,"Petróleo, Gás e Biocombustíveis"
HAPV3,"21,71 Bilhões",40,-41.09,0.44,-71.53,33.33,-36.703296703297,2.88,0.52867193333333,-81.643335648148,-100,-1.08,-2.28,"-528,64 Milhões","23,21 Bilhões",22.09,"9,48 Bilhões",0.27,0.20563913145807,Saúde,,,
MRFG3,"20,99 Bilhões",60,7.44,7.45,207.3,18.21,139.35127922353,24.47,26.4522711,8.10082182264,15.582105120939,-36.321597380715,100.15,1.8,"4,14 Bilhões","156,68 Bilhões",18.35,-1.8,"20,24 Bilhões",22.57,11.080961477975,12.02,Consumo não Cíclico
UGPA3,"19,74 Bilhões",100,8.72,1.3,33.54,2.61,-25.330647730498,17.7,8.9101142,-49.660371751412,24.941802260462,40.914137064757,14.9,1.66,"2,43 Bilhões","136,43 Bilhões",10.92,21.27,"2,74 Bilhões",0.99,3.08966839997,3.96,"Petróleo, Gás e Biocombustíveis"
LREN3,"19,39 Bilhões",80,15.17,1.89,-34.54,42.97,41.127032115024,18.3,9.9589566666667,-45.579471766849,16.242236607069,-11.244608704541,12.45,8.65,"1,28 Bilhão","14,79 Bilhões",14.43,3.12,"1,63 Bilhão",0.04,3.0674073327407,3.8,Consumo Cíclico
CRFB3,"17,86 Bilhões",30,9.21,0.85,-47.05,0.59,-20.159398358117,8.47,4.2461330466667,-49.868559071231,14.373099874418,69.694213393365,9.21,1.65,"2,13 Bilhões","117,28 Bilhões",10.5,-5.59,"5,51 Bilhões",1.19,1.8838699475347,1.12,Consumo não Cíclico
ISAE4,"17,73 Bilhões",90,4.37,0.76,70.84,5.63,-14.156079854809,23.65,35.758666666667,51.199436222693,61.465526923634,159.89651976167,17.48,42.48,"3,62 Bilhões","8,40 Bilhões",17.84,1.37,"3,28 Bilhões",0.73,6.7909156502677,10.03,Utilidade Pública
ISAE3,"17,73 Bilhões",80,5.9,1.03,85.5,0.19,-9.0728100113766,31.97,37.014256666667,15.778094046503,61.465526923634,92.260015400795,17.48,42.48,"3,62 Bilhões","8,40 Bilhões",17.84,1.37,"3,28 Bilhões",0.73,5.7430340006747,7.39,Utilidade Pública
GMAT3,"17,56 Bilhões",90,12.59,1.75,6.43,-0.49742430653991,7.95,4.2293896783333,-46.800129832286,8.0132858428987,0.79604833834842,13.93,4.22,"1,41 Bilhão","33,03 Bilhões",21.67,14.24,"1,52 Bilhão",0.21,3.0303032973396,2.66,Consumo não Cíclico,
ENMT4,"16,96 Bilhões",50,17.42,4.36,272.2,3.08,4.9136570676506,79.99,53.7258574672,-32.834282451306,43.544563380519,-45.562491085737,25.01,12.15,"1,01 Bilhão","8,28 Bilhões",10.18,8.2,"1,49 Bilhão",1.83,3.6288713338939,5.1,Utilidade Pública
ENMT3,"16,96 Bilhões",50,15.81,3.95,259.32,-5.71,-9.6305249964694,72.6,55.975626300533,-22.898586362902,43.544563380519,-40.021262561269,25.01,12.15,"1,01 Bilhão","8,28 Bilhões",10.18,8.2,"1,49 Bilhão",1.83,3.6198613936305,3.82,Utilidade Pública
CGAS3,"16,71 Bilhões",70,9.47,11.71,32.81,0.38,25.325120718166,125.54,191.5772236508,52.60253596527,56.553620573753,-54.951712144533,123.69,11.79,"1,76 Bilhão","14,89 Bilhões",12.36,8.83,"1,14 Bilhão",5.98,8.6117460195357,7.91,Utilidade Pública
CGAS5,"16,71 Bilhões",70,9.66,11.94,22.93,-1.14,20.986220638836,128,210.8349051647,64.714769659922,56.553620573753,-55.817483926755,123.69,11.79,"1,76 Bilhão","14,89 Bilhões",12.36,8.83,"1,14 Bilhão",5.98,9.4625633513053,8.53,Utilidade Pública
HYPE3,"15,68 Bilhões",60,19.38,1.34,4.65,23.94,-17.502168000717,24.75,18.1287,-26.752727272727,23.1011688016,-6.6619442359596,6.89,12.08,"800,82 Milhões","6,70 Bilhões",10.37,-9.17,"1,74 Bilhão",0.79,3.9756059421727,4.26,Saúde
NTCO3,"14,48 Bilhões",30,-1.78,0.96,-67.49,11.78,-36.380255941499,10.44,2.9112464492667,-72.114497612388,-100,-53.93,-29.33,"-8,14 Bilhões","27,76 Bilhões",-5.55,"3,69 Bilhões",0.44,1.3893780808345,0.34,Consumo não Cíclico,,
CMIG3,"14,44 Bilhões",90,6.17,1.55,394.96,8.64,30.821878839394,15.1,23.266219789867,54.080925760709,23.183372274111,53.532266715967,25.09,17.25,"7,01 Bilhões","40,61 Bilhões",9.99,19.58,"4,70 Bilhões",0.55,7.3476656005151,12.44,Utilidade Pública
CMIG4,"14,44 Bilhões",90,4.38,1.1,288.47,10.1,19.844902385515,10.72,23.870028023867,122.66817186443,23.183372274111,116.26280106447,25.09,17.25,"7,01 Bilhões","40,61 Bilhões",9.99,19.58,"4,70 Bilhões",0.55,10.203535426301,17.52,Utilidade Pública
REDE3,"14,35 Bilhões",50,10.81,3.45,4.57,4.62,4.0118071943584,6.8,10.441741478733,53.555021746074,5.2843873817123,-22.288420857172,31.93,7.35,"1,82 Bilhão","18,07 Bilhões",9.85,8.16,"3,01 Bilhões",3.88,9.091557595473,9.12,Utilidade Pública
CSAN3,"14,19 Bilhões",40,-1.29,1.8,-45.21,6,-44.634282526984,7.6,7.7162393,1.5294644736842,-100,-139.63,-25.18,"-10,36 Bilhões","43,77 Bilhões",26.51,"14,81 Bilhões",8.5,3.0279912318036,5.92,"Petróleo, Gás e Biocombustíveis",,
SMFT3,"14,08 Bilhões",20,30.35,2.55,3.94,7.4001753281694,24.01,8.7166740216667,-63.695651721505,12.946746695599,-46.07768973095,8.39,7.73,"467,04 Milhões","6,00 Bilhões","2,95 Bilhões",1.08,3.0972226904481,2.5,Consumo Cíclico,,,
MULT3,"13,79 Bilhões",80,10.55,2.4,47.81,10.07,17.049183515033,26.57,14.034520775433,-47.179071225318,25.05332313287,-5.7082305876176,22.76,51.35,"1,31 Bilhão","2,55 Bilhões",18.68,6.29,"1,24 Bilhão",0.95,3.2556992859735,4.19,Financeiro
ASAI3,"13,37 Bilhões",60,16.19,2.48,19.92,-25.233597379867,9.89,1.7904239166667,-81.896623693967,7.3909065749744,-25.268892062948,15.34,1.1,"826,00 Milhões","75,15 Bilhões",15.83,-11.9,"4,40 Bilhões",3.03,0.51340795899953,1.05,Consumo não Cíclico,
TFCO4,"13,14 Bilhões",90,104.43,27.15,31.91,16.927332964642,13.89,2.8601481125,-79.408580903528,1.2213721791493,-91.206823764224,26,14.26,"125,86 Milhões","882,42 Milhões",26.98,37.26,"50,44 Milhões",0.3,1.4157695886154,1.59,Consumo Cíclico,
EQPA3,"12,77 Bilhões",70,6.45,2.56,221.01,2.22,-6.1447892330054,5.76,6.94505804,20.573924305556,6.7123952505793,16.534639767002,39.61,18.19,"1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,7.9124019839045,11.44,Utilidade Pública
EQPA5,"12,77 Bilhões",70,8.35,3.31,62.14,16.58,19.002247883065,6.7913,6.84505804,0.7915721584969,6.7123952505793,-1.1618504472001,39.61,18.19,"1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,5.4856908967081,8.84,Utilidade Pública
EQPA6,"12,77 Bilhões",70,8.96,3.55,-14.13,8.97,5.7843181824373,7.3413,6.9413566666667,-5.4478543763816,6.7123952505793,-8.566667339854,39.61,18.19,"1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,4.4747606892273,8.23,Utilidade Pública
EQPA7,"12,77 Bilhões",70,9.24,3.66,97.35,8.81,30.379287660347,7.5913,6.9413566666667,-8.5616868432719,6.7123952505793,-11.577789699007,39.61,18.19,"1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,5.6467345385454,7.98,Utilidade Pública
TAEE3,"12,33 Bilhões",60,7.3,1.68,119.85,7.92,9.5189963073211,11.89,22.5096804217,89.316067465938,16.091162170583,35.333575866972,23.08,42.41,"1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.847913336886,7.68,Utilidade Pública
TAEE4,"12,33 Bilhões",70,7.35,1.7,120.64,8.17,9.0964026137146,11.98,22.5097675208,87.894553595993,16.091162170583,34.316879554115,23.08,42.41,"1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.797893266162,7.67,Utilidade Pública
TAEE11,"12,33 Bilhões",70,7.34,1.69,115.41,8.04,8.987898374191,35.9,67.5290748219,88.103272484401,48.273486511749,34.466536244426,23.08,42.41,"1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.872630064812,7.65,Utilidade Pública
CSNA3,"12,11 Bilhões",40,-4.62,0.93,50.58,5.18,-32.219747587231,9.13,25.790286256771,182.47849131184,-100,-20.03,-5.84,"-1,79 Bilhão","44,88 Bilhões",8.34,"18,82 Bilhões",4.07,9.9435474795731,6.06,Materiais Básicos,,
ALOS3,"11,99 Bilhões",90,13.91,0.89,7.8,9.8,6.0726628397517,22.08,10.47771014,-52.546602626812,29.750184873375,34.738156129416,6.42,31.4,"962,71 Milhões","2,75 Bilhões",28.06,36.59,"3,08 Bilhões",0.46,2.7385446573045,3.61,Financeiro
STBP3,"11,79 Bilhões",50,14.87,19.4,418.69,1.56,38.428137492278,13.64,7.6162053766667,-44.162717179863,3.8065732621349,-72.092571391973,130.43,25.23,"792,65 Milhões","3,14 Bilhões",27.6,"381,98 Milhões",4.32,4.4433516434648,6.32,Bens Industriais,
CEEB3,"11,00 Bilhões",60,5.28,1.23,63.46,-2.55,-3.0246232303236,37,72.003762201333,94.604762706305,68.764783864999,85.8507672027,23.39,11.21,"1,76 Bilhão","16,40 Bilhões",7.76,7.57,"796,00 Milhões",1.96,11.270315448165,4.52,Utilidade Pública
CEEB5,"11,00 Bilhões",60,5.28,1.23,64.51,4.72,9.9427637145701,37,72.003758432333,94.604752519819,68.764783864999,85.8507672027,23.39,11.21,"1,76 Bilhão","16,40 Bilhões",7.76,7.57,"796,00 Milhões",1.96,11.924151642771,4.52,Utilidade Pública
